wv,n,k
727.389709,1.539141,0.00028
728.977966,1.539131,0.000277
730.566162,1.538939,0.00027
732.154236,1.538741,0.000264
733.74231,1.538646,0.000259
735.3302,1.53866,0.000258
736.918091,1.538667,0.000255
738.50592,1.538492,0.000249
740.093628,1.538286,0.000243
741.681274,1.538178,0.000239
743.268799,1.538172,0.000237
744.856262,1.538212,0.000236
746.443604,1.538069,0.00023
748.030884,1.537851,0.000225
749.618103,1.537718,0.00022
751.2052,1.537684,0.000218
752.792297,1.537737,0.000217
754.379272,1.537645,0.000213
755.966125,1.537443,0.000208
757.552856,1.537278,0.000204
759.139526,1.537205,0.000201
760.726196,1.537222,0.000199
762.312683,1.537222,0.000198
763.899109,1.537066,0.000193
765.485474,1.536866,0.000189
767.071777,1.536748,0.000185
768.657898,1.536718,0.000183
770.244019,1.536765,0.000183
771.830017,1.536683,0.00018
773.415894,1.536494,0.000175
775.00177,1.536327,0.000172
776.587463,1.53624,0.000169
778.173096,1.536236,0.000168
779.758667,1.536274,0.000167
781.344116,1.536152,0.000163
782.929504,1.535956,0.00016
784.514771,1.535809,0.000157
786.099976,1.535741,0.000154
787.684998,1.535748,0.000153
789.27002,1.535765,0.000152
790.854919,1.535638,0.000149
792.439758,1.535443,0.000146
794.024475,1.535305,0.000143
795.60907,1.535243,0.000141
797.193604,1.535251,0.00014
798.778015,1.535265,0.000139
800.362427,1.535142,0.000136
801.946655,1.534951,0.000133
803.530762,1.534812,0.000131
805.114868,1.534743,0.000129
806.698792,1.534744,0.000128
808.282654,1.534773,0.000128
809.866394,1.53466,0.000125
811.450073,1.53448,0.000122
813.03363,1.53433,0.00012
814.617126,1.534246,0.000118
816.2005,1.534229,0.000117
817.783813,1.534268,0.000117
819.367004,1.53419,0.000115
820.950012,1.534032,0.000112
822.53302,1.533865,0.00011
824.115906,1.533758,0.000109
825.698608,1.533715,0.000107
827.281372,1.53373,0.000107
828.863953,1.533723,0.000106
830.446411,1.533606,0.000104
832.028809,1.533426,0.000102
833.611023,1.53329,0.0001
835.193176,1.533212,0.000099
836.775269,1.533194,0.000098
838.357239,1.533226,0.000097
839.939087,1.533163,0.000096
841.520813,1.533021,0.000094
843.102539,1.532853,0.000092
844.684082,1.532735,0.000091
846.265503,1.532675,0.000089
847.846863,1.532669,0.000089
849.42804,1.532704,0.000089
851.009155,1.53261,0.000087
852.59021,1.532459,0.000085
854.171082,1.532301,0.000084
855.751953,1.532192,0.000082
857.332642,1.532137,0.000081
858.913208,1.532133,0.000081
860.493774,1.532163,0.000081
862.074097,1.53207,0.000079
863.654419,1.531923,0.000078
865.234497,1.531766,0.000076
866.814575,1.531656,0.000075
868.394531,1.531596,0.000074
869.974304,1.531585,0.000074
871.554077,1.531614,0.000073
873.133667,1.53154,0.000072
874.713196,1.53141,0.000071
876.292603,1.531248,0.000069
877.871887,1.531128,0.000068
879.450989,1.531055,0.000067
881.03009,1.531029,0.000067
882.609009,1.531044,0.000067
884.187805,1.531017,0.000066
885.766479,1.530911,0.000065
887.345093,1.530751,0.000064
888.923645,1.530615,0.000063
890.501953,1.530522,0.000062
892.080261,1.530473,0.000061
893.658386,1.530467,0.000061
895.23645,1.530494,0.000061
896.814331,1.530408,0.00006
898.39209,1.530282,0.000058
899.969849,1.530126,0.000057
901.547363,1.530007,0.000056
903.124817,1.529928,0.000056
904.702148,1.529892,0.000055
906.279419,1.529894,0.000055
907.856445,1.529897,0.000055
909.433411,1.529806,0.000054
911.010254,1.529671,0.000053
912.587036,1.529523,0.000052
914.163696,1.52941,0.000051
915.740112,1.529337,0.000051
917.316528,1.529303,0.00005
918.892761,1.529304,0.00005
920.468933,1.529305,0.00005
922.044922,1.529215,0.000049
923.620789,1.529084,0.000048
925.196594,1.528938,0.000047
926.772278,1.528824,0.000046
928.347778,1.528746,0.000046
929.923157,1.528706,0.000045
931.498413,1.5287,0.000045
933.073608,1.528716,0.000045
934.648621,1.528634,0.000044
936.223511,1.528522,0.000044
937.79834,1.52837,0.000043
939.373047,1.528247,0.000042
940.947571,1.528157,0.000042
942.521973,1.528103,0.000041
944.096313,1.528083,0.000041
945.67041,1.528091,0.000041
947.244446,1.528056,0.00004
948.818359,1.527961,0.00004
950.39209,1.527824,0.000039
951.96582,1.527687,0.000039
953.539246,1.52758,0.000038
955.112671,1.527505,0.000038
956.685913,1.527463,0.000037
958.259094,1.527452,0.000037
959.832153,1.527464,0.000037
961.404968,1.527398,0.000037
962.977722,1.527298,0.000036
964.550415,1.527154,0.000035
966.122864,1.527025,0.000035
967.69519,1.526924,0.000034
969.267395,1.526854,0.000034
970.839539,1.526815,0.000034
972.411499,1.526804,0.000033
973.983276,1.526815,0.000033
975.554993,1.526745,0.000033
977.126587,1.526647,0.000032
978.698059,1.526506,0.000032
980.269348,1.526377,0.000031
981.840454,1.526275,0.000031
983.411499,1.526202,0.000031
984.982422,1.526157,0.00003
986.553101,1.526139,0.00003
988.123718,1.526143,0.00003
989.694214,1.526097,0.00003
991.264648,1.526006,0.000029
992.834839,1.52588,0.000029
994.404907,1.525745,0.000028
995.974915,1.525634,0.000028
997.544617,1.52555,0.000028
999.11438,1.525493,0.000028
1013.309937,1.524829,0.000025
1016.72229,1.524751,0.000025
1020.134583,1.524698,0.000024
1023.54718,1.524466,0.000024
1026.959839,1.524211,0.000023
1030.372803,1.524063,0.000022
1033.785767,1.524019,0.000022
1037.198975,1.523905,0.000022
1040.612305,1.523644,0.000021
1044.025757,1.523419,0.00002
1047.439453,1.523296,0.00002
1050.853271,1.523267,0.00002
1054.267212,1.523112,0.000019
1057.681274,1.522845,0.000019
1061.095459,1.522633,0.000018
1064.51001,1.522517,0.000018
1067.924561,1.522487,0.000018
1071.339233,1.522325,0.000017
1074.75415,1.522059,0.000017
1078.169189,1.521846,0.000017
1081.584351,1.521723,0.000016
1084.999756,1.521681,0.000016
1088.415283,1.521542,0.000016
1091.830811,1.521289,0.000015
1095.246582,1.52106,0.000015
1098.662598,1.520916,0.000015
1102.078613,1.520851,0.000014
1105.494873,1.520759,0.000014
1108.911255,1.520536,0.000014
