wv,n,k
743.268799,2.980253,0.168054
744.856262,2.980032,0.167257
746.443604,2.97981,0.166461
748.030884,2.979652,0.165667
749.618103,2.979526,0.164875
751.2052,2.9794,0.164082
752.792297,2.979275,0.16329
754.379272,2.97915,0.162497
755.966125,2.979025,0.161705
757.552856,2.979007,0.160914
759.139526,2.978998,0.160123
760.726196,2.97899,0.159332
762.312683,2.978982,0.158542
763.899109,2.978974,0.157751
765.485474,2.978971,0.156961
767.071777,2.979105,0.156168
768.657898,2.979239,0.155376
770.244019,2.979373,0.154583
771.830017,2.979507,0.153791
773.415894,2.979642,0.152999
775.00177,2.979777,0.152207
776.587463,2.98011,0.151408
778.173096,2.980444,0.150609
779.758667,2.980778,0.149811
781.344116,2.981112,0.149013
782.929504,2.981446,0.148214
784.514771,2.981781,0.147417
786.099976,2.982363,0.146606
787.684998,2.983002,0.145793
789.27002,2.983641,0.14498
790.854919,2.98428,0.144167
792.439758,2.984919,0.143355
794.024475,2.985558,0.142543
795.60907,2.986472,0.141703
797.193604,2.987703,0.140831
798.778015,2.988933,0.139959
800.362427,2.990163,0.139089
801.946655,2.991392,0.138218
803.530762,2.992622,0.137349
805.114868,2.993851,0.136481
806.698792,2.996357,0.134944
808.282654,2.99893,0.133375
809.866394,3.001502,0.131808
811.450073,3.004072,0.130244
813.03363,3.00664,0.128683
814.617126,3.009208,0.127125
816.2005,3.011951,0.124659
817.783813,3.015202,0.119603
819.367004,3.018458,0.114558
820.950012,3.021719,0.109523
822.53302,3.024986,0.1045
824.115906,3.028257,0.099488
825.698608,3.031533,0.094487
827.281372,3.032923,0.08834
828.863953,3.031348,0.080369
830.446411,3.029794,0.072391
832.028809,3.02826,0.064404
833.611023,3.026746,0.05641
835.193176,3.025252,0.048408
836.775269,3.023779,0.040398
838.357239,3.020926,0.03368
839.939087,3.015211,0.029608
841.520813,3.009492,0.025521
843.102539,3.003767,0.021419
844.684082,2.998037,0.017301
846.265503,2.992302,0.013168
847.846863,2.986563,0.00902
849.42804,2.980915,0.005109
851.009155,2.976515,0.004476
852.59021,2.972109,0.003843
854.171082,2.967698,0.003207
855.751953,2.963279,0.002569
857.332642,2.958855,0.00193
858.913208,2.954425,0.001288
860.493774,2.949988,0.000645
862.074097,2.946517,0.00037
863.654419,2.943666,0.000332
865.234497,2.940812,0.000294
866.814575,2.937956,0.000256
868.394531,2.935097,0.000218
869.974304,2.932235,0.00018
871.554077,2.929371,0.000142
873.133667,2.926504,0.000103
874.713196,2.924307,0.000094
876.292603,2.922156,0.000088
877.871887,2.920004,0.000081
879.450989,2.917851,0.000074
881.03009,2.915697,0.000067
882.609009,2.91354,0.000061
884.187805,2.911383,0.000054
885.766479,2.909237,0.000047
887.345093,2.90748,0.000044
888.923645,2.905722,0.000041
890.501953,2.903964,0.000038
892.080261,2.902204,0.000034
893.658386,2.900443,0.000031
895.23645,2.898682,0.000028
896.814331,2.896919,0.000025
898.39209,2.895156,0.000021
899.969849,2.893635,0.00002
901.547363,2.892141,0.000018
903.124817,2.890647,0.000017
904.702148,2.889152,0.000015
906.279419,2.887655,0.000014
907.856445,2.886159,0.000012
909.433411,2.884662,0.000011
911.010254,2.883164,0.00001
912.587036,2.881769,0.000009
914.163696,2.880468,0.000008
915.740112,2.879166,0.000007
917.316528,2.877865,0.000007
918.892761,2.876562,0.000006
920.468933,2.875259,0.000005
922.044922,2.873956,0.000005
923.620789,2.872652,0.000004
925.196594,2.871348,0.000003
926.772278,2.870182,0.000003
928.347778,2.869032,0.000003
929.923157,2.867883,0.000003
931.498413,2.866733,0.000002
933.073608,2.865582,0.000002
934.648621,2.864431,0.000002
936.223511,2.86328,0.000002
937.79834,2.862128,0.000001
939.373047,2.860977,0.000001
940.947571,2.859947,0.000001
942.521973,2.858918,0.000001
944.096313,2.857889,0.000001
945.67041,2.85686,0.000001
947.244446,2.85583,0.000001
948.818359,2.8548,0.000001
950.39209,2.85377,0.000001
951.96582,2.85274,0.000001
953.539246,2.851709,0
955.112671,2.850763,0
956.685913,2.849837,0
958.259094,2.848911,0
959.832153,2.847985,0
961.404968,2.847058,0
962.977722,2.846132,0
964.550415,2.845205,0
966.122864,2.844277,0
967.69519,2.84335,0
969.267395,2.842451,0
970.839539,2.841611,0
