wv,n,k
507.59433,1,0
509.190369,1,0
510.786377,1,0
512.382324,1,0
513.978271,1,0
515.574158,1,0
517.170044,1,0
518.765869,1,0
520.361694,1,0
521.957397,1,0
523.553101,1,0
525.148804,1,0
526.744507,1,0
528.340088,1,0
529.935669,1,0
531.531189,1,0
533.126709,1,0
534.722168,1,0
536.317566,1,0
537.912964,1,0
539.508301,1,0
541.103638,1,0
542.698853,1,0
544.294128,1,0
545.889282,1,0
547.484497,1,0
549.07959,1,0
550.674622,1,0
552.269653,1,0
553.864624,1,0
555.459595,1,0
557.054504,1,0
558.649292,1,0
560.244141,1,0
561.838928,1,0
563.433655,1,0
565.02832,1,0
566.622925,1,0
568.217529,1,0
569.812073,1,0
571.406555,1,0
573.000977,1,0
574.595398,1,0
576.189758,1,0
577.784058,1,0
579.378296,1,0
580.972534,1,0
582.566711,1,0
584.160828,1,0
585.754883,1,0
587.348938,1,0
588.942871,1,0
590.536804,1,0
592.130676,1,0
593.724487,1,0
595.318237,1,0
596.911987,1,0
598.505615,1,0
600.099243,1,0
601.69281,1,0
603.286316,1,0
604.879761,1,0
606.473145,1,0
608.066528,1,0
609.65979,1,0
611.253052,1,0
612.846252,1,0
614.439331,1,0
616.03241,1,0
617.625427,1,0
619.218384,1,0
620.81134,1,0
622.404175,1,0
623.996948,1,0
625.589722,1,0
627.182373,1,0
628.775024,1,0
630.367554,1,0
631.960083,1,0
633.55249,1,0
635.144897,1,0
636.737183,1,0
638.329468,1,0
639.921692,1,0
641.513794,1,0
643.105835,1,0
644.697876,1,0
646.289856,1,0
647.881714,1,0
649.473572,1,0
651.065308,1,0
652.657104,1,0
654.248657,1,0
655.840271,1,0
657.431763,1,0
659.023254,1,0
660.614624,1,0
662.205933,1,0
663.797241,1,0
665.388367,1,0
666.979492,1,0
668.570557,1,0
670.16156,1,0
671.752502,1,0
673.343323,1,0
674.934143,1,0
676.524841,1,0
678.115479,1,0
679.706055,1,0
681.29657,1,0
682.887024,1,0
684.477417,1,0
686.067688,1,0
687.657898,1,0
689.248108,1,0
690.838196,1,0
692.428162,1,0
694.018127,1,0
695.608032,1,0
697.197815,1,0
698.787476,1,0
700.377136,1,0
701.966736,1,0
703.556274,1,0
705.14563,1,0
706.734985,1,0
708.324341,1,0
709.913513,1,0
711.502625,1,0
713.091675,1,0
714.680664,1,0
716.269592,1,0
717.858398,1,0
719.447144,1,0
721.035767,1,0
722.62439,1,0
724.212891,1,0
725.801331,1,0
727.389709,1,0
728.977966,1,0
730.566162,1,0
732.154236,1,0
733.74231,1,0
735.3302,1,0
736.918091,1,0
738.50592,1,0
740.093628,1,0
741.681274,1,0
743.268799,1,0
744.856262,1,0
746.443604,1,0
748.030884,1,0
749.618103,1,0
751.2052,1,0
752.792297,1,0
754.379272,1,0
755.966125,1,0
757.552856,1,0
759.139526,1,0
760.726196,1,0
762.312683,1,0
763.899109,1,0
765.485474,1,0
767.071777,1,0
768.657898,1,0
770.244019,1,0
771.830017,1,0
773.415894,1,0
775.00177,1,0
776.587463,1,0
778.173096,1,0
779.758667,1,0
781.344116,1,0
782.929504,1,0
784.514771,1,0
786.099976,1,0
787.684998,1,0
789.27002,1,0
790.854919,1,0
792.439758,1,0
794.024475,1,0
795.60907,1,0
797.193604,1,0
798.778015,1,0
800.362427,1,0
801.946655,1,0
803.530762,1,0
805.114868,1,0
806.698792,1,0
808.282654,1,0
