wv,n,k
815.766785,1.534227,0.000118
817.344482,1.534253,0.000117
818.922058,1.534222,0.000116
820.499512,1.534088,0.000113
822.076782,1.533908,0.000111
823.653931,1.533783,0.000109
825.230957,1.533721,0.000108
826.807922,1.53372,0.000107
828.384644,1.53375,0.000107
829.961304,1.533647,0.000105
831.537903,1.53348,0.000102
833.114258,1.533326,0.0001
834.690552,1.53323,0.000099
836.266602,1.533194,0.000098
837.842651,1.533211,0.000097
839.418579,1.533196,0.000096
840.994263,1.53308,0.000095
842.569824,1.532905,0.000093
844.145325,1.532769,0.000091
845.720703,1.532689,0.00009
847.295898,1.532665,0.000089
848.870972,1.53269,0.000089
850.445923,1.532648,0.000088
852.020691,1.532526,0.000086
853.595398,1.532353,0.000084
855.169922,1.532226,0.000083
856.744324,1.532151,0.000082
858.318542,1.532129,0.000081
859.8927,1.532152,0.000081
861.466675,1.53211,0.00008
863.040527,1.531993,0.000078
864.614258,1.531822,0.000077
866.187805,1.531693,0.000075
867.761353,1.531614,0.000074
869.334595,1.531584,0.000074
870.907715,1.531599,0.000073
872.480774,1.53158,0.000073
874.053589,1.531474,0.000071
875.626343,1.531312,0.00007
877.199036,1.531174,0.000069
878.771484,1.531081,0.000068
880.34375,1.531035,0.000067
881.915894,1.531033,0.000067
883.487976,1.531054,0.000067
885.059875,1.530963,0.000065
886.631653,1.530825,0.000064
888.203247,1.530672,0.000063
889.774719,1.530559,0.000062
891.346008,1.53049,0.000061
892.917175,1.530465,0.000061
894.488159,1.530478,0.000061
896.059082,1.530453,0.00006
897.629883,1.530351,0.000059
899.2005,1.530198,0.000058
900.770874,1.53006,0.000057
902.341187,1.529962,0.000056
903.911316,1.529905,0.000056
905.481323,1.529889,0.000055
907.051147,1.529905,0.000055
908.620911,1.529857,0.000054
910.19043,1.529752,0.000053
911.759888,1.529597,0.000052
913.329224,1.529465,0.000052
914.898254,1.529371,0.000051
916.467163,1.529317,0.00005
918.036011,1.5293,0.00005
919.604675,1.529314,0.00005
921.173218,1.529268,0.000049
922.741577,1.529167,0.000048
924.309753,1.529017,0.000048
925.877808,1.528884,0.000047
927.445679,1.528786,0.000046
929.013489,1.528725,0.000046
930.581055,1.528699,0.000045
932.14856,1.528705,0.000045
933.71582,1.528686,0.000045
935.282898,1.528593,0.000044
936.849915,1.528458,0.000043
938.416687,1.528318,0.000043
939.983398,1.528208,0.000042
941.549927,1.528133,0.000042
943.116211,1.528092,0.000041
944.682434,1.528083,0.000041
946.248413,1.528099,0.000041
947.814331,1.528025,0.00004
949.380066,1.527922,0.00004
950.945618,1.527773,0.000039
952.511047,1.527647,0.000038
954.076294,1.52755,0.000038
955.641296,1.527487,0.000037
957.206238,1.527456,0.000037
958.770996,1.527453,0.000037
960.335632,1.527452,0.000037
961.900085,1.527369,0.000036
963.464355,1.527258,0.000036
965.028503,1.527112,0.000035
966.592468,1.526992,0.000035
968.15625,1.5269,0.000034
969.719849,1.52684,0.000034
971.283325,1.526809,0.000034
972.846558,1.526805,0.000034
974.40979,1.526802,0.000033
975.972778,1.526721,0.000033
977.535522,1.526616,0.000032
979.098145,1.526471,0.000032
980.660645,1.526349,0.000031
982.222961,1.526254,0.000031
983.785034,1.526189,0.000031
985.347046,1.526151,0.00003
986.908875,1.526138,0.00003
988.47052,1.526147,0.00003
990.032043,1.52608,0.00003
991.593262,1.525985,0.000029
993.154419,1.525851,0.000029
994.715454,1.525721,0.000028
996.276184,1.525616,0.000028
997.836792,1.525537,0.000028
999.397278,1.525485,0.000028
1011.209839,1.524935,0.000025
1014.555359,1.524787,0.000025
1017.902222,1.524748,0.000025
1021.250183,1.524637,0.000024
1024.599487,1.524377,0.000023
1027.949951,1.524156,0.000023
1031.301636,1.524042,0.000022
1034.654541,1.524021,0.000022
1038.008667,1.523856,0.000021
1041.364014,1.523586,0.000021
1044.720459,1.523386,0.00002
1048.078247,1.523285,0.00002
1051.437134,1.52326,0.00002
1054.797119,1.523079,0.000019
1058.158325,1.522809,0.000019
1061.520752,1.522613,0.000018
1064.884277,1.522511,0.000018
1068.248901,1.522485,0.000018
1071.614746,1.522308,0.000017
1074.981689,1.522043,0.000017
1078.349854,1.521837,0.000017
1081.719116,1.52172,0.000016
1085.0896,1.521681,0.000016
1088.46106,1.521539,0.000016
1091.833618,1.521289,0.000015
1095.207275,1.521063,0.000015
1098.582153,1.520918,0.000015
1101.95813,1.520852,0.000015
1105.335083,1.520767,0.000014
1108.713135,1.520553,0.000014
1112.092285,1.520299,0.000014
1115.472534,1.520117,0.000013
1118.853882,1.520013,0.000013
1122.236206,1.519973,0.000013
1125.619751,1.519809,0.000013
1129.00415,1.519559,0.000012
1132.389771,1.519333,0.000012
1135.776367,1.519179,0.000012
1139.16394,1.519094,0.000012
1142.55249,1.51903,0.000012
1145.942261,1.518844,0.000011
1149.332886,1.518584,0.000011
1152.724609,1.518373,0.000011
1156.117432,1.51823,0.000011
1159.510986,1.51815,0.00001
1162.905762,1.51807,0.00001
1166.301514,1.51788,0.00001
1169.69812,1.51762,0.00001
1173.095825,1.517411,0.00001
1176.494385,1.517264,0.000009
1179.894043,1.517177,0.000009
1183.294678,1.517102,0.000009
1186.696045,1.516918,0.000009
1190.098511,1.516663,0.000009
1193.501953,1.516443,0.000009
1196.906372,1.516281,0.000008
1200.311646,1.516176,0.000008
1203.717896,1.516117,0.000008
1207.125,1.515951,0.000008
1210.533081,1.515717,0.000008
1213.942139,1.515478,0.000008
1217.351929,1.51529,0.000008
1220.762695,1.515157,0.000008
1224.174438,1.515072,0.000007
1227.586914,1.514971,0.000007
1231.000366,1.514781,0.000007
1234.414795,1.514527,0.000007
1237.829956,1.514306,0.000007
1241.245972,1.514135,0.000007
1244.662842,1.514013,0.000007
1248.080811,1.513934,0.000007
1251.499268,1.513802,0.000007
1254.918823,1.513601,0.000006
1258.339111,1.513345,0.000006
1261.760376,1.513131,0.000006
1265.182373,1.512962,0.000006
1268.605103,1.512839,0.000006
1272.028687,1.512756,0.000006
1275.453125,1.512621,0.000006
1278.878418,1.512424,0.000006
1282.304443,1.512168,0.000006
1285.731201,1.511947,0.000005
1289.158936,1.511769,0.000005
1292.58728,1.511634,0.000005
1296.016357,1.511537,0.000005
1299.446411,1.511426,0.000005
1302.877197,1.511238,0.000005
1306.308594,1.510994,0.000005
1309.740845,1.510759,0.000005
1313.173828,1.510561,0.000005
1316.607544,1.510404,0.000005
1320.041992,1.510284,0.000005
1323.477295,1.510197,0.000005
1326.913086,1.510036,0.000005
1330.349854,1.509831,0.000005
1333.787109,1.509576,0.000004
1337.22522,1.509352,0.000004
1340.66394,1.509163,0.000004
1344.103394,1.509013,0.000004
1347.543701,1.508896,0.000004
1350.984497,1.508805,0.000004
1354.426025,1.508625,0.000004
1357.868286,1.508412,0.000004
1361.311157,1.508159,0.000004
1364.754639,1.507935,0.000004
1368.198975,1.507744,0.000004
1371.643799,1.507587,0.000004
1375.089233,1.507463,0.000004
1378.5354,1.507364,0.000004
1381.982178,1.507196,0.000004
1385.429565,1.506994,0.000004
1388.877686,1.506739,0.000004
1392.326416,1.506505,0.000004
1395.775635,1.506302,0.000003
1399.225586,1.506129,0.000003
1402.676025,1.505988,0.000003
1406.127197,1.505872,0.000003
1409.578857,1.505744,0.000003
1413.031006,1.505551,0.000003
1416.484009,1.505322,0.000003
1419.937378,1.505072,0.000003
1423.391357,1.504847,0.000003
1426.845947,1.504651,0.000003
1430.301025,1.504483,0.000003
1433.756714,1.504343,0.000003
1437.213013,1.504225,0.000003
1440.669678,1.504079,0.000003
1444.127075,1.503881,0.000003
1447.584839,1.503647,0.000003
1451.043213,1.503397,0.000003
1454.502197,1.50317,0.000003
1457.961548,1.50297,0.000003
1461.421387,1.502795,0.000003
1464.881836,1.502646,0.000003
1468.342651,1.502519,0.000003
1471.804077,1.502383,0.000003
1475.265991,1.502188,0.000003
1478.728271,1.501969,0.000003
1482.191162,1.501712,0.000002
1485.654541,1.501474,0.000002
1489.118286,1.50126,0.000002
1492.58252,1.501069,0.000002
1496.047119,1.500903,0.000002
1499.512329,1.500758,0.000002
1502.977783,1.500631,0.000002
1506.443848,1.500463,0.000002
